Complete_SciLifeID;SciLifeID;Number;Complete_number;Alternative_number;ID;Biol_repl_ID;Sex;Type;Sampling;Tree;Batch
1_150115_BC6L4PANXX_P1387_101;P1387_101;;;1_150115_BC6L4PANXX;M1-09-12;M-09-12;M;WT;12-Sep;1;1
1_150115_BC6L4PANXX_P1387_102;P1387_102;;;1_150115_BC6L4PANXX;M1-10-08;M-10-08;M;WT;08-Oct;1;1
1_150115_BC6L4PANXX_P1387_103;P1387_103;;;1_150115_BC6L4PANXX;M2-09-12;M-09-12;M;WT;12-Sep;2;1
1_150115_BC6L4PANXX_P1387_104;P1387_104;;;1_150115_BC6L4PANXX;M3-09-12;M-09-12;M;WT;12-Sep;3;1
1_150115_BC6L4PANXX_P1387_105;P1387_105;;;1_150115_BC6L4PANXX;M4-09-12;M-09-12;M;WT;12-Sep;4;1
1_150115_BC6L4PANXX_P1387_106;P1387_106;;;1_150115_BC6L4PANXX;M5-09-12;M-09-12;M;WT;12-Sep;5;1
1_150115_BC6L4PANXX_P1387_107;P1387_107;;;1_150115_BC6L4PANXX;M2-10-08;M-10-08;M;WT;08-Oct;2;1
1_150115_BC6L4PANXX_P1387_108;P1387_108;;;1_150115_BC6L4PANXX;M4-10-08;M-10-08;M;WT;08-Oct;4;1
1_150115_BC6L4PANXX_P1387_109;P1387_109;;;1_150115_BC6L4PANXX;M3-10-08;M-10-08;M;WT;08-Oct;3;1
1_150115_BC6L4PANXX_P1387_110;P1387_110;;;1_150115_BC6L4PANXX;M5-10-08;M-10-08;M;WT;08-Oct;5;1
1_150115_BC6L4PANXX_P1387_111;P1387_111;;;1_150115_BC6L4PANXX;F2-10-08;F-10-08;F;WT;08-Oct;2;1
1_150115_BC6L4PANXX_P1387_112;P1387_112;;;1_150115_BC6L4PANXX;F3-10-08;F-10-08;F;WT;08-Oct;3;1
1_150115_BC6L4PANXX_P1387_113;P1387_113;;;1_150115_BC6L4PANXX;F1-09-12;F-09-12;F;WT;12-Sep;1;1
1_150115_BC6L4PANXX_P1387_114;P1387_114;;;1_150115_BC6L4PANXX;F4-09-12;F-09-12;F;WT;12-Sep;4;1
1_150115_BC6L4PANXX_P1387_115;P1387_115;;;1_150115_BC6L4PANXX;F1-10-08;F-10-08;F;WT;08-Oct;1;1
1_150115_BC6L4PANXX_P1387_116;P1387_116;;;1_150115_BC6L4PANXX;F2-09-12;F-09-12;F;WT;12-Sep;2;1
1_150115_BC6L4PANXX_P1387_117;P1387_117;;;1_150115_BC6L4PANXX;F4-10-08;F-10-08;F;WT;08-Oct;4;1
1_150115_BC6L4PANXX_P1387_118;P1387_118;;;1_150115_BC6L4PANXX;F5-09-12;F-09-12;F;WT;12-Sep;5;1
1_150115_BC6L4PANXX_P1387_119;P1387_119;;;1_150115_BC6L4PANXX;V4-10-08;V-10-08;V;WT;08-Oct;4;1
1_150115_BC6L4PANXX_P1387_120;P1387_120;;;1_150115_BC6L4PANXX;V5-10-08;V-10-08;V;WT;08-Oct;5;1
1_150115_BC6L4PANXX_P1387_121;P1387_121;;;1_150115_BC6L4PANXX;F5-10-08;F-10-08;F;WT;08-Oct;5;1
1_150115_BC6L4PANXX_P1387_122;P1387_122;;;1_150115_BC6L4PANXX;F3-09-12;F-09-12;F;WT;12-Sep;3;1
1_150115_BC6L4PANXX_P1387_123;P1387_123;;;1_150115_BC6L4PANXX;V3-10-08;V-10-08;V;WT;08-Oct;3;1
1_150115_BC6L4PANXX_P1387_124;P1387_124;;;1_150115_BC6L4PANXX;V2-10-08;V-10-08;V;WT;08-Oct;2;1
1_150115_BC6L4PANXX_P1387_125;P1387_125;;;1_150115_BC6L4PANXX;V1-10-08;V-10-08;V;WT;08-Oct;1;1
2_150115_BC6L4PANXX_P1387_101;P1387_101;;;2_150115_BC6L4PANXX;M1-09-12;M-09-12;M;WT;12-Sep;1;1
2_150115_BC6L4PANXX_P1387_102;P1387_102;;;2_150115_BC6L4PANXX;M1-10-08;M-10-08;M;WT;08-Oct;1;1
2_150115_BC6L4PANXX_P1387_103;P1387_103;;;2_150115_BC6L4PANXX;M2-09-12;M-09-12;M;WT;12-Sep;2;1
2_150115_BC6L4PANXX_P1387_104;P1387_104;;;2_150115_BC6L4PANXX;M3-09-12;M-09-12;M;WT;12-Sep;3;1
2_150115_BC6L4PANXX_P1387_105;P1387_105;;;2_150115_BC6L4PANXX;M4-09-12;M-09-12;M;WT;12-Sep;4;1
2_150115_BC6L4PANXX_P1387_106;P1387_106;;;2_150115_BC6L4PANXX;M5-09-12;M-09-12;M;WT;12-Sep;5;1
2_150115_BC6L4PANXX_P1387_107;P1387_107;;;2_150115_BC6L4PANXX;M2-10-08;M-10-08;M;WT;08-Oct;2;1
2_150115_BC6L4PANXX_P1387_108;P1387_108;;;2_150115_BC6L4PANXX;M4-10-08;M-10-08;M;WT;08-Oct;4;1
