SciLife_Sample_ID;Sample_name;ID;Biol_repl_ID;Sex;Type;Sampling;Tree;Batch;;Location_of_data
P1386_101;;M1-09-12;M-09-12;M;WT;12-Sep;1;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_102;;M1-10-08;M-10-08;M;WT;08-Oct;1;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_103;;M2-09-12;M-09-12;M;WT;12-Sep;2;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_104;;M3-09-12;M-09-12;M;WT;12-Sep;3;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_105;;M4-09-12;M-09-12;M;WT;12-Sep;4;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_106;;M5-09-12;M-09-12;M;WT;12-Sep;5;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_107;;M2-10-08;M-10-08;M;WT;08-Oct;2;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_108;;M4-10-08;M-10-08;M;WT;08-Oct;4;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_109;;M3-10-08;M-10-08;M;WT;08-Oct;3;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_110;;M5-10-08;M-10-08;M;WT;08-Oct;5;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_111;;F2-10-08;F-10-08;F;WT;08-Oct;2;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_112;;F3-10-08;F-10-08;F;WT;08-Oct;3;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_113;;F1-09-12;F-09-12;F;WT;12-Sep;1;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_114;;F4-09-12;F-09-12;F;WT;12-Sep;4;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_115;;F1-10-08;F-10-08;F;WT;08-Oct;1;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_116;;F2-09-12;F-09-12;F;WT;12-Sep;2;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_117;;F4-10-08;F-10-08;F;WT;08-Oct;4;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_118;;F5-09-12;F-09-12;F;WT;12-Sep;5;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_119;;V4-10-08;V-10-08;V;WT;08-Oct;4;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_120;;V5-10-08;V-10-08;V;WT;08-Oct;5;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_121;;F5-10-08;F-10-08;F;WT;08-Oct;5;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_122;;F3-09-12;F-09-12;F;WT;12-Sep;3;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_123;;V3-10-08;V-10-08;V;WT;08-Oct;3;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
P1386_124;;V2-10-08;V-10-08;V;WT;08-Oct;2;1;;/proj/b2015052/seq_data/raw/N.Street_14_07
