SciLifeID,ID,Sex,Sampling,Sample
1,P1387_101,M1-09-12,M,09-12,1
2,P1387_102,M1-10-08,M,10-08,1
3,P1387_103,M2-09-12,M,09-12,2
4,P1387_104,M3-09-12,M,09-12,3
5,P1387_105,M4-09-12,M,09-12,4
6,P1387_106,M5-09-12,M,09-12,5
7,P1387_107,M2-10-08,M,10-08,2
8,P1387_108,M4-10-08,M,10-08,4
9,P1387_109,M3-10-08,M,10-08,3
10,P1387_110,M5-10-08,M,10-08,5
11,P1387_111,F2-10-08,F,10-08,2
12,P1387_112,F3-10-08,F,10-08,3
13,P1387_113,F1-09-12,F,09-12,1
14,P1387_114,F4-09-12,F,09-12,4
15,P1387_115,F1-10-08,F,10-08,1
16,P1387_116,F2-09-12,F,09-12,2
17,P1387_117,F4-10-08,F,10-08,4
18,P1387_118,F5-09-12,F,09-12,5
19,P1387_119,V4-10-08,V,10-08,4
20,P1387_120,V5-10-08,V,10-08,5
21,P1387_121,F5-10-08,F,10-08,5
22,P1387_122,F3-09-12,F,09-12,3
23,P1387_123,V3-10-08,V,10-08,3
24,P1387_124,V2-10-08,V,10-08,2
25,P1387_125,V1-10-08,V,10-08,1
